epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,16.2653,1.1789,0.98331,0.99743,0.06583,0.000251102,0.000251102,0.000251102
2,27.7815,0.09986,0.98588,0.99743,0.03553,0.000502412,0.000502412,0.000502412
3,39.7008,0.08579,0.97561,0.99615,0.10459,0.000748646,0.000748646,0.000748646
4,51.9369,0.14784,0.97818,0.99615,0.05324,0.000746161,0.000746161,0.000746161
5,63.9279,0.14086,0.9846,0.99872,0.04293,0.000738548,0.000738548,0.000738548
6,75.8044,0.11556,0.99358,0.99872,0.02636,0.000730935,0.000730935,0.000730935
7,87.9217,0.07251,0.98845,0.99872,0.03236,0.000723321,0.000723321,0.000723321
8,99.651,0.0895,0.97818,0.99743,0.0633,0.000715708,0.000715708,0.000715708
9,111.65,0.07149,0.9923,0.99872,0.02877,0.000708095,0.000708095,0.000708095
10,123.513,0.07947,0.99487,0.99872,0.0273,0.000700482,0.000700482,0.000700482
11,135.472,0.07825,0.99358,0.99872,0.02036,0.000692869,0.000692869,0.000692869
12,147.607,0.06378,0.99358,0.99872,0.01702,0.000685256,0.000685256,0.000685256
13,159.322,0.05034,0.99487,0.99872,0.01809,0.000677643,0.000677643,0.000677643
14,171.465,0.03776,0.99101,0.99743,0.02865,0.00067003,0.00067003,0.00067003
15,183.26,0.04691,0.9923,0.99872,0.02298,0.000662417,0.000662417,0.000662417
16,195.275,0.07048,0.99358,0.99743,0.02561,0.000654804,0.000654804,0.000654804
17,207.442,0.05087,0.99101,0.99872,0.12527,0.00064719,0.00064719,0.00064719
18,219.292,0.06135,0.99487,0.99743,0.04653,0.000639577,0.000639577,0.000639577
19,231.354,0.05482,0.98973,0.99872,0.02559,0.000631964,0.000631964,0.000631964
20,243.26,0.0363,0.98716,0.99743,0.05766,0.000624351,0.000624351,0.000624351
21,254.996,0.04567,0.98973,0.99743,0.03,0.000616738,0.000616738,0.000616738
22,266.991,0.03851,0.99358,0.99872,0.02153,0.000609125,0.000609125,0.000609125
23,278.915,0.02226,0.9923,0.99872,0.02386,0.000601512,0.000601512,0.000601512
24,290.938,0.02328,0.98588,0.99872,0.03462,0.000593899,0.000593899,0.000593899
25,302.952,0.03179,0.9923,0.99872,0.0182,0.000586286,0.000586286,0.000586286
26,315.019,0.02724,0.99358,0.99872,0.01948,0.000578672,0.000578672,0.000578672
27,327.011,0.0312,0.98973,0.99872,0.02085,0.000571059,0.000571059,0.000571059
28,338.799,0.02208,0.98973,0.99872,0.02082,0.000563446,0.000563446,0.000563446
29,350.727,0.0205,0.99487,0.99872,0.01891,0.000555833,0.000555833,0.000555833
30,362.346,0.0368,0.98973,0.99872,0.03707,0.00054822,0.00054822,0.00054822
