epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,8.8094,1.47015,0.95792,0.99257,0.20883,0.00020825,0.00020825,0.00020825
2,13.7306,0.15609,0.9802,1,0.04076,0.000420624,0.000420624,0.000420624
3,20.2463,0.05954,0.98762,1,0.02906,0.00062871,0.00062871,0.00062871
4,26.75,0.06555,0.98515,1,0.04831,0.00080826,0.00080826,0.00080826
5,32.7585,0.11263,0.94802,0.99505,0.17841,0.000800013,0.000800013,0.000800013
6,38.7929,0.15233,0.96782,1,0.13588,0.000791767,0.000791767,0.000791767
7,45.2834,0.13411,0.9802,1,0.03996,0.00078352,0.00078352,0.00078352
8,51.4871,0.09305,0.9703,1,0.07229,0.000775273,0.000775273,0.000775273
9,58.1271,0.09538,0.98267,1,0.13294,0.000767026,0.000767026,0.000767026
10,64.3352,0.0686,0.98267,1,0.0557,0.00075878,0.00075878,0.00075878
11,70.5233,0.08546,0.99257,1,0.07133,0.000750533,0.000750533,0.000750533
12,76.7337,0.06753,0.99752,1,0.0205,0.000742286,0.000742286,0.000742286
13,82.7808,0.06337,0.98762,1,0.01475,0.00073404,0.00073404,0.00073404
14,88.7863,0.05728,0.99257,1,0.03415,0.000725793,0.000725793,0.000725793
15,94.7234,0.03252,0.99505,1,0.03102,0.000717546,0.000717546,0.000717546
16,100.896,0.04349,0.99505,1,0.01153,0.000709299,0.000709299,0.000709299
17,106.859,0.0692,0.99505,1,0.01351,0.000701053,0.000701053,0.000701053
18,112.973,0.04199,0.99752,1,0.02282,0.000692806,0.000692806,0.000692806
19,119.111,0.04515,0.99257,1,0.01707,0.000684559,0.000684559,0.000684559
20,125.274,0.0308,0.99505,1,0.0323,0.000676313,0.000676313,0.000676313
21,131.513,0.0308,0.99752,1,0.02817,0.000668066,0.000668066,0.000668066
22,137.632,0.02107,0.99752,1,0.02953,0.000659819,0.000659819,0.000659819
23,144.016,0.05083,0.99257,1,0.02056,0.000651573,0.000651573,0.000651573
24,150.085,0.03137,0.99752,1,0.0124,0.000643326,0.000643326,0.000643326
25,156.308,0.06752,0.99752,1,0.0133,0.000635079,0.000635079,0.000635079
26,162.409,0.07596,0.99257,1,0.02531,0.000626832,0.000626832,0.000626832
27,168.462,0.03277,0.9901,1,0.03093,0.000618586,0.000618586,0.000618586
28,174.532,0.03952,0.99257,1,0.01534,0.000610339,0.000610339,0.000610339
29,180.744,0.02264,0.99752,1,0.01066,0.000602092,0.000602092,0.000602092
30,186.948,0.02783,0.99257,1,0.01548,0.000593846,0.000593846,0.000593846
31,193.146,0.03168,0.99505,1,0.01565,0.000585599,0.000585599,0.000585599
32,199.293,0.03007,0.9901,1,0.0311,0.000577352,0.000577352,0.000577352
